question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
"The average of 46 numbers is 50.5. The average of the first 25 numbers is 45 and that of the last 18 numbers is 56. The $$28^{th}$$ number is 67. If the $$26^{th}$$ and $$27^{th}$$ numbers are excluded, then what is the average of the remaining numbers?",50,50.4,51.5,51,2022,E,13th April Shift 3,A,Arithmetic,Average
"If $$\sin^{2} \theta - \cos^{2} \theta - 3sin \theta  + 2 = 0 , 0^{\circ} <0< 90^{\circ}$$, then what is the value of $$1 + sec \theta + tan \theta$$?",$$1+ \sqrt{3}$$,$$-1+ \sqrt{3}$$,$$1-\sqrt{3}$$,$$-1-\sqrt{3}$$,2022,E,13th April Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
The curved surface area of a right circular cylinder is 616 $$cm^{2}$$ and the area of its base is 38.5 $$cm^{2}$$ . What is the volume (in $$cm^{3}$$ ) of the cylinder? (Take $$\pi = \frac{22}{7}$$).,1078,1243,1408,1155,2022,H,13th April Shift 3,A,Mensuration,Solid Figures
"A, B and C start a business. A invests $$33\frac{1}{3}\%$$ of the total capital, B invests 25% of the remaining, and C invests the rest. If the total profit at the end of the year is ₹1,86,000, then A's share of the profit (in ₹) is:","62,000","61,000","64,000","59,000",2022,E,13th April Shift 3,A,Arithmetic,Partnership
"If $$2\sqrt{2}x^{3} - 3\sqrt{3}y^{2} = \left(\sqrt{2}x- \sqrt{3}y)(Ax^{2} - Bxy + Cy^{2}\right)$$ , then the value of $$\left(A^{2} + B^{2} + C^{2}\right)$$ is:",19,11,18,16,2022,E,13th April Shift 2,A,Algebra,Identities
"A sum of ₹4,620 is to be paid back in 2 equal annual instalments. How much is each instalment (in ₹) if the interest is compounded annually at 10% per annum?","2,662","2,420","2,552","2,750",2022,E,13th April Shift 2,A,Arithmetic,SI & CI
The expression $$\left(cos^{6} \theta + sin^{6} \theta- 1\right)\left(\tan^{2} \theta + \cot^{2} \theta + 2\right) + 3$$ is equal to:,0,1,2,-1,2022,E,13th April Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"In $$\triangle$$ ABC , D is a point on side BC such that $$\angle ADC = \angle BAC$$. If CA= 15 cm and CD= 9 cm, then CB (in cm)=?",25,15,10,12,2022,E,13th April Shift 2,A,Geometry,Congruence and Similarity of Triangles
A shopkeeper marks an article at a price 20% higher than its cost price and allows 10% discount. Find his gain percentage.,8%,9%,9.50%,10%,2022,M,13th April Shift 2,A,Arithmetic,Discount
"In the given figure,                                                                                                                                                                                                                                                                    https://cracku.in/media/uploads/Screenshot_169_BeBECfl.png                                                                                                                                                                                       D is the centre of the circle. $$\angle PDQ= 54^{\circ}$$. What is the measure (in degree) of $$\angle$$ PRQ?",153,207,235,137,2022,M,13th April Shift 2,A,Mensuration,Plane Figures
"The average of sixteen numbers is 48. The average of the first six of these numbers is 45 and that of the last seven numbers is 53. The seventh and the eighth numbers are, respectively, 3 and 7 greater than the ninth number. What is the average of the ninth and seventh numbers?",40.5,39,41.5,42,2022,E,13th April Shift 2,A,Arithmetic,Average
"Study the given pie chart and answer the question that follows.
The pie chart represents the percentage-wise distribution of the total number of Vanilla cakes and Chocolate cakes sold every day in a week. The total number of cakes sold in a week = 10500.                                                                                                                                                                                                             https://cracku.in/media/uploads/image_XYyC6DE.png                                                                                                                                                                                      The ratio of the number of Vanilla cakes sold to the number of Chocolate cakes sold on Saturday is 4: 3. the selling price of one Vanilla cake is ₹8 and that of one Chocolate cake is ₹15, then the total amount earned (in ₹) by selling all Vanilla cakes and Chocolate cakes on Saturday is:","18,480","14,880","20,000","10,488",2022,H,13th April Shift 2,A,Data Interpretation,Pie Chart
"A shopkeeper allows 28% discount on the marked price of an article and still makes a profit of 20%. If he gains ₹3,080 on the sale of one article, then what is the selling price (in ₹) of the article?","18,480","14,880","10.,884","18,840",2022,M,13th April Shift 1,A,Arithmetic,Discount
"In $$\triangle$$ ABC , D is a point on side BC such that $$\angle ADC = \angle BAC$$. If CA= 12 cm, CD= 8 cm, then CB (in cm)=?",18,10,12,15,2022,E,13th April Shift 1,A,Geometry,Congruence and Similarity of Triangles
"A train covers a distance of 225 km in $$2\frac{1}{2}$$ hours with a uniform speed. The time taken, in hours, to cover a distance of 450 km with the same speed is:",5,4,6,3,2022,M,13th April Shift 1,A,Arithmetic,Problem on Trains
"A tea seller used to make 50% of profit by selling tea at ₹9 per cup. When the cost of ingredients increased by 25%, be started selling tea at ₹10 per cup.What is his profit percentage now?",$$33\frac{1}{3}$$,25,$$33\frac{2}{3}$$,30,2022,E,13th April Shift 1,A,Arithmetic,Profit & Loss
"The given pie chart represents the percentage-wise distribution of the total number of vanilla cakes and chocolate cakes sold every day. The total number of cakes sold in a week = 10500. Study the pie chart and answer the question that follows.
https://cracku.in/media/uploads/image_TLgbZhQ.png                                                                                                                                                                                      The ratio of vanilla cakes sold to chocolate cakes sold on Friday is 4:3. If the price of one vanilla cake is ₹9 and that of one chocolate cake is ₹10, then the total amount earned (in ₹) by selling all vanilla cakes and chocolate cakes on Friday is:","9,900","10,000","11,000","8,900",2022,H,13th April Shift 1,A,Data Interpretation,Pie Chart
"In a triangle ABC, D and E are points on BC such that AD= AE and $$\angle BAD - \angle CAE$$. If AB= (2p + 3), BD = 2p. AC= (3q - 1) and CE = q, then find the value of (p + q).",3,3.6,4.5,2,2022,E,13th April Shift 1,A,Mensuration,Plane Figures
"In a factory with 400 employees, the ratio of the number of male employees to that of female employees is 5: 3. There are 87.5% regular employees in the factory. If 92% of male employees are regular employees, then what is the percentage of regular female employees?",80%,78%,87.50%,85%,2022,M,13th April Shift 1,A,Arithmetic,Profit & Loss
"Study the given pie-chart and answer the question that follows.
The chart represents the percentage-wise distribution of total number of vanilla cakes and chocolate cakes sold every day in a week. Total number of cakes sold in a week = 10500.
https://cracku.in/media/uploads/image_SQJ55aA.png                                                                                                                                                                                      The ratio of vanilla cakes sold to chocolate cakes sold on Friday is 4 : 3. If the selling price of one vanilla cake is ₹9 and that of one chocolate cake is ₹10, then the total amount earned (in ₹) by selling all the vanilla cakes and chocolate cakes on Friday is:","10,000","9,900","11,000","8,900",2022,H,13th April Shift 3,B,Data Interpretation,Pie Chart
"Let $$\triangle ABC \sim \triangle PQR$$ and  $$\frac{ar\left(\triangle ABC\right)}{ar\left(\triangle QPR\right)} = \frac{64}{169}$$. If AB = 10 cm, BC = 7 cm and AC = 16 cm, then PR (in cm) is equal to:",21,26,15,13,2022,E,13th April Shift 3,B,Geometry,Congruence and Similarity of Triangles
"A shopkeeper allows 28% discount on the marked price of an article and still makes a profit of 30%. If he gains ₹30.90 on the sale of one article, then what is the marked price (to the nearest ₹) of the article?",194,186,103,134,2022,M,13th April Shift 3,B,Arithmetic,Discount
"What is the value of p, if 25(3 + 4p) + 12 of 5 - 3 $$\times$$ 8 = 6?",$$15\frac{1}{3}$$,$$17\frac{1}{4}$$,69,72,2022,E,13th April Shift 3,B,Arithmetic,Simplification
"Study the given bar graph and answer the question that follows.
The bar graph shows the exports of cars of type A and B (in ₹ millions) from 2014 to 2018.                                                                                                                    https://cracku.in/media/uploads/image_ovELB5P.png                                                                                                                                                                                       What is the ratio of the total exports of cars of type A in 2016 and 2018 to the total exports of cars of type B in 2015 and 2017?                     ",05:04,23:21,10:09,13:12,2022,M,13th April Shift 3,B,Data Interpretation,Bar Graph
"In $$\triangle$$ ABC, AD is perpendicular to B and AE is the bisector of $$\angle$$ BAC . If $$\angle ABC = 58^{\circ}$$ and $$\angle ACB = 34^{\circ}$$, then find the measure of $$\angle$$ DAE.",$$12^{\circ}$$,$$11^{\circ}$$,$$22^{\circ}$$,$$15^{\circ}$$,2022,E,12th April Shift 3,A,Geometry,Congruence and Similarity of Triangles
"If $$8k^{6} + 15k^{3} - 2 = 0$$, then the positive value of $$\left(k + \frac{1}{k}\right)$$ is:",$$2\frac{1}{2}$$,$$2\frac{1}{8}$$,$$8\frac{1}{2}$$,$$8\frac{1}{8}$$,2022,M,12th April Shift 3,A,Algebra,Identities
"A certain sum on simple interest becomes ₹49,600 in 3 years and ₹56,000 in 5 years. If the rate of interest had been 2%, more, then in how many years would the sum have doubled:",10,8,12,20,2022,M,12th April Shift 3,A,Arithmetic,SI & CI
Five men and 2 boys can do in 30 days as much work as 7 men and 10 boys can do in 15 days. How many boys should join 40 men to do the same work in 4 days?,10,15,12,14,2022,E,12th April Shift 3,A,Arithmetic,Time & Work
"The angles of a triangle are $$\left(8 x - 15\right)^{\circ} , \left( 6x - 11 \right)^{\circ} and \left( 4x - 10\right)^{\circ}$$ . What is the value of x?",12,16,15,18,2022,M,12th April Shift 3,A,Algebra,Identities
"If $$x - y + z = 0$$, then find the value of $$\frac{y^{2}}{2xz}-\frac{x^{2}}{2yz}-\frac{z^{2}}{2xy}$$",$$\frac{3}{2}$$,$$\frac{1}{2}$$,-6,$$-\frac{3}{2}$$,2022,E,12th April Shift 3,A,Algebra,Identities
A journey of 900 km is completed in 11 h. If two-fifth of the journey is completed at the speed of 60 km/h. at what speed ( in km/h) is the remaining journey completed?,108,72,84,90,2022,M,12th April Shift 3,A,Arithmetic,"Speed, Time & Distance"
"From a point P on a level ground, the angle of elevation of the top of a tower is $$30^{\circ}$$. If the tower is $$110\sqrt{3}$$ m high, what is the distance (in m) of point P from the foot of the tower?",330,220,115,110,2022,E,12th April Shift 3,A,Trigonometry,Height & Distance
A and B are two prime numbers such that A > B aud their LCM is 209. The value of $$A^{2} - B$$ is:,350,372,361,339,2022,M,12th April Shift 3,A,Arithmetic,HCF & LCM
"The following bar graph shows the number of youth (in lakhs) and the number of employed youth (in lakhs) in five states A, B, C, D and E.
Which state(s) has employed youth less than 80% of its total youth population?
https://cracku.in/media/uploads/image_438mgzp.png",D,B and D,C and D,A,2022,E,12th April Shift 3,A,Data Interpretation,Bar Graph
"The given histogram represents the marks of students in Mathematics test of a certain class.
The total number of students is 350 and the maximum marks of the test are 200. Study the graph and answer the question that follows.
https://cracku.in/media/uploads/image_bBky8xW.png
What is the class average ( correct up to one place of decimal) of mathematics test?",119.3,123 .7,115.8,127.3,2022,E,12th April Shift 2,A,Data Interpretation,Histogram
"A and B start a business. A invests $$33\frac{1}{2}$$%, of the total capital and B invests the remaining. If the total profit at the end of  the year is ₹1,62,000, then B's share (in ₹) is:","1,08,000","1,12,000","1,20,000","54,000",2022,E,12th April Shift 2,A,Arithmetic,Partnership
A shopkeeper marks his goods at a price 20% higher than their cost price and allows 10% discount on every item. Find his gain percentage.,10%,10.50%,9%,8%,2022,E,12th April Shift 2,A,Arithmetic,Discount
"The following bar graph shows the number of youth (in lakhs) and the number of employed youth (in lakhs) in 5 states A, B, C, D and E.
In which state(s) is the number of youth more than the average number of youth in the five states?                                                                                                https://cracku.in/media/uploads/image_2zIo67H.png",A,"A, C","A, C, D, E","A, C, D",2022,E,12th April Shift 2,A,Data Interpretation,Bar Graph
If $$a^{2} + b^{2} + 49c^{2} + 18 = 2\left(b - 28c - a\right)$$ then the value of $$\left(a + b - 7c\right)$$ is:,4,3,2,1,2022,E,12th April Shift 2,A,Algebra,Identities
"Sides AB and AC of $$\triangle$$ ABC are produced to points D and E, respectively. The bisectors of $$\angle$$ CBD and $$\angle$$ BCE meet at P. If $$\angle A = 78^{\circ}$$, then the measure of $$\angle$$P is:",$$51^{\circ}$$,$$61^{\circ}$$,$$55^{\circ}$$,$$56^{\circ}$$,2022,M,12th April Shift 2,A,Geometry,Congruence and Similarity of Triangles
"The following bar chart shows the number of students enrolled in two Summer Camps A and B from 2014 to 2019.
Study the chart carefully and answer the question that follows.                                                                                                                                                                   https://cracku.in/media/uploads/image_rKVBYGQ.png                                                                                                                                                                                             The number of students enrolled in Camp A in 2016 and 2019 together is what percentage of the number of students enrolled in Camp B in 2015 and 2017 together?",64%,75%,60%,80%,2022,E,12th April Shift 2,A,Data Interpretation,Bar Graph
The given bar graph shows exports of cars of type A and B (in ₹ millions) from 2014 to 2018. Study me graph and answer me question that follows.          https://cracku.in/media/uploads/image_RIb9mGE.png                                                                                                                                                                                      What is the ratio of the total exports of cars of type A in 2014 and 2018 to the total exports of cars of type B in 2015 and 2017?,20:21,10:09,05:04,13:12,2022,E,12th April Shift 1,A,Data Interpretation,Bar Graph
